name,start_time,"data","error"
"Async Serial",1.16518308,0x0000,"framing"
"Async Serial",1.16930092,0x0000,"framing"
"Async Serial",1.17344125,0x0000,
"Async Serial",1.17531692,0x0000,"framing"
"Async Serial",1.17719258,0x0000,"framing"
"Async Serial",1.18139183,0xC000,
"Async Serial",1.1832675,0x0000,"framing"
"Async Serial",1.18514317,0x0000,"framing"
"Async Serial",1.18701883,0x0000,"framing"
"Async Serial",1.18918908,0x0000,
"Async Serial",1.19106475,0x0000,"framing"
"Async Serial",1.19294042,0x0000,"framing"
"Async Serial",1.19803392,0x0000,"framing"
"Async Serial",1.19990958,0x0000,"framing"
"Async Serial",1.20178525,0x0000,"framing"
"Async Serial",1.20366092,0x0000,"framing"
"Async Serial",1.20585075,0x0000,
"Async Serial",1.20772642,0x0000,"framing"
"Async Serial",1.20960208,0x0000,"framing"
"Async Serial",1.21479033,0xE000,
"Async Serial",1.216666,0x0000,"framing"
"Async Serial",1.21854167,0x0000,"framing"
"Async Serial",1.22041733,0x0000,"framing"
"Async Serial",1.22257425,0x0000,
"Async Serial",1.22444992,0x0000,"framing"
"Async Serial",1.22632558,0x0000,"framing"
"Async Serial",1.23162225,0x8000,
"Async Serial",1.23349792,0x0000,"framing"
"Async Serial",1.2353735,0x0000,"framing"
"Async Serial",1.23724917,0x0000,"framing"
"Async Serial",1.23942008,0x0000,
"Async Serial",1.24129575,0x0000,"framing"
"Async Serial",1.24317142,0x0000,"framing"
"Async Serial",1.24838158,0xF800,
"Async Serial",1.25025725,0x0000,"framing"
"Async Serial",1.25213292,0x0000,"framing"
"Async Serial",1.25400858,0x0000,"framing"
"Async Serial",1.25614408,0x0000,
"Async Serial",1.25801975,0x0000,"framing"
"Async Serial",1.25989542,0x0000,"framing"
"Async Serial",1.26501725,0xC000,
"Async Serial",1.26689292,0x0000,"framing"
"Async Serial",1.26876858,0x0000,"framing"
"Async Serial",1.27064417,0x0000,"framing"
"Async Serial",1.27280642,0x0000,
"Async Serial",1.27468208,0x0000,"framing"
"Async Serial",1.27655767,0x0000,"framing"
"Async Serial",1.28167242,0x8000,
"Async Serial",1.28354808,0x0000,"framing"
"Async Serial",1.28542375,0x0000,"framing"
"Async Serial",1.28729942,0x0000,"framing"
"Async Serial",1.28946933,0x0000,
"Async Serial",1.291345,0x0000,"framing"
"Async Serial",1.29322067,0x0000,"framing"
"Async Serial",1.29852275,0xC000,
"Async Serial",1.30039842,0x0000,"framing"
"Async Serial",1.30227408,0x0000,"framing"
"Async Serial",1.30414975,0x0000,"framing"
"Async Serial",1.30631475,0x0000,
"Async Serial",1.30819042,0x0000,"framing"
"Async Serial",1.31006608,0x0000,"framing"
"Async Serial",1.31520125,0xF000,
"Async Serial",1.31707692,0x0000,"framing"
"Async Serial",1.3189525,0x0000,"framing"
"Async Serial",1.32082817,0x0000,"framing"
"Async Serial",1.3229775,0x0000,
"Async Serial",1.32485317,0x0000,"framing"
"Async Serial",1.32672883,0x0000,"framing"
"Async Serial",1.33191317,0xE000,
"Async Serial",1.33378883,0x0000,"framing"
"Async Serial",1.3356645,0x0000,"framing"
"Async Serial",1.33754017,0x0000,"framing"
"Async Serial",1.3397015,0x0000,
"Async Serial",1.34157717,0x0000,"framing"
"Async Serial",1.34345283,0x0000,"framing"
"Async Serial",1.3485565,0x0000,
"Async Serial",1.35043217,0x0000,"framing"
"Async Serial",1.35230775,0x0000,"framing"
"Async Serial",1.35418342,0x0000,"framing"
"Async Serial",1.35636408,0x0000,
"Async Serial",1.35823975,0x0000,"framing"
"Async Serial",1.36011542,0x0000,"framing"
"Async Serial",1.36539775,0x0000,
"Async Serial",1.36727342,0x0000,"framing"
"Async Serial",1.36914908,0x0000,"framing"
"Async Serial",1.37102475,0x0000,"framing"
"Async Serial",1.3732095,0x0000,
"Async Serial",1.37508517,0x0000,"framing"
"Async Serial",1.37696083,0x0000,"framing"
"Async Serial",1.38214492,0xC000,
"Async Serial",1.3840205,0x0000,"framing"
"Async Serial",1.38589617,0x0000,"framing"
"Async Serial",1.38777183,0x0000,"framing"
"Async Serial",1.38993333,0x0000,
"Async Serial",1.391809,0x0000,"framing"
"Async Serial",1.39368467,0x0000,"framing"
"Async Serial",1.39886025,0xC000,
"Async Serial",1.40073592,0x0000,"framing"
"Async Serial",1.40261158,0x0000,"framing"
"Async Serial",1.40448725,0x0000,"framing"
"Async Serial",1.40665708,0x0000,
"Async Serial",1.40853275,0x0000,"framing"
"Async Serial",1.41040842,0x0000,"framing"
"Async Serial",1.41604775,0x0000,"framing"
"Async Serial",1.41792342,0x0000,"framing"
"Async Serial",1.41979908,0x0000,"framing"
"Async Serial",1.42167475,0x0000,"framing"
"Async Serial",1.4238685,0x0000,
"Async Serial",1.42574408,0x0000,"framing"
"Async Serial",1.42761975,0x0000,"framing"
"Async Serial",1.43228558,0x0000,"framing"
"Async Serial",1.43416125,0x0000,"framing"
"Async Serial",1.43603692,0x0000,"framing"
"Async Serial",1.43791258,0x0000,"framing"
"Async Serial",1.44010392,0x0000,
"Async Serial",1.44197958,0x0000,"framing"
