Time [s],MOSI Schwarz,Data grün
0.000000000,1,1
0.000611833,1,0
0.000759667,1,1
0.000768500,0,1
0.000784000,0,0
0.000931917,0,1
0.000941000,1,1
0.001775750,1,0
0.001923583,1,1
0.001932417,0,1
0.001947917,0,0
0.002095833,0,1
0.002104917,1,1
0.002938917,1,0
0.003086750,1,1
0.003095667,0,1
0.003111167,0,0
0.003259083,0,1
0.003268083,1,1
0.004102583,1,0
0.004250417,1,1
0.004259250,0,1
0.004274750,0,0
0.004422667,0,1
0.004431667,1,1
0.011544833,1,0
0.011692667,1,1
0.011701583,0,1
0.011717083,0,0
0.011865000,0,1
0.011873917,1,1
0.012801000,1,0
0.012948833,1,1
0.012957667,0,1
0.012973167,0,0
0.013121083,0,1
0.013130167,1,1
0.013963083,1,0
0.014110917,1,1
0.014119750,0,1
0.014135250,0,0
0.014283167,0,1
0.014292167,1,1
0.015126500,1,0
0.015274333,1,1
0.015283250,0,1
0.015298667,0,0
0.015446583,0,1
0.015455583,1,1
0.016290417,1,0
0.016438250,1,1
0.016447083,0,1
0.016462583,0,0
0.016610500,0,1
0.016619500,1,1
0.017453417,1,0
0.017601333,1,1
0.017610167,0,1
0.017625667,0,0
0.017773583,0,1
0.017782583,1,1
0.018617083,1,0
0.018764917,1,1
0.018773750,0,1
0.018789250,0,0
0.018937167,0,1
0.018946250,1,1
0.019780917,1,0
0.019928750,1,1
0.019937583,0,1
0.019953083,0,0
0.020101000,0,1
0.020110000,1,1
0.020944083,1,0
0.021091833,1,1
0.021100750,0,1
0.021116250,0,0
0.021264167,0,1
0.021273167,1,1
0.028287583,1,0
0.028435417,1,1
0.028444250,0,1
0.028459833,0,0
0.028607750,0,1
0.028616750,1,1
0.029443083,1,0
0.029590917,1,1
0.029599750,0,1
0.029615250,0,0
0.029763167,0,1
0.029772167,1,1
0.030606583,1,0
0.030754417,1,1
0.030763250,0,1
0.030778750,0,0
0.030926667,0,1
0.030935667,1,1
0.031770667,1,0
0.031918583,1,1
0.031927417,0,1
0.031942833,0,0
0.032090750,0,1
0.032099833,1,1
0.032933833,1,0
0.033081667,1,1
0.033090500,0,1
0.033106000,0,0
0.033253917,0,1
0.033262917,1,1
0.034097000,1,0
0.034244833,1,1
0.034253667,0,1
0.034269167,0,0
0.034417083,0,1
0.034426167,1,1
0.035261000,1,0
0.035408833,1,1
0.035417750,0,1
0.035433250,0,0
0.035581167,0,1
0.035590167,1,1
0.036424250,1,0
0.036572083,1,1
0.036580917,0,1
0.036596417,0,0
0.036744333,0,1
0.036753333,1,1
0.037587833,1,0
0.037735667,1,1
0.037744500,0,1
0.037760000,0,0
0.037907917,0,1
0.037916917,1,1
0.045030083,1,0
0.045177917,1,1
0.045186750,0,1
0.045202250,0,0
0.045350167,0,1
0.045359167,1,1
0.046185917,1,0
0.046333750,1,1
0.046342667,0,1
0.046358167,0,0
0.046506083,0,1
0.046515083,1,1
0.047349333,1,0
0.047497167,1,1
0.047506000,0,1
0.047521500,0,0
0.047669417,0,1
0.047678417,1,1
0.048512750,1,0
0.048660583,1,1
0.048669500,0,1
0.048684917,0,0
0.048832833,0,1
0.048841833,1,1
0.049676833,1,0
0.049824667,1,1
0.049833500,0,1
0.049849000,0,0
0.049996917,0,1
0.050005917,1,1
0.050840167,1,0
0.050988083,1,1
0.050996917,0,1
0.051012417,0,0
0.051160333,0,1
0.051169333,1,1
0.052003250,1,0
0.052151083,1,1
0.052159917,0,1
0.052175417,0,0
0.052323333,0,1
0.052332333,1,1
0.053167167,1,0
0.053315083,1,1
0.053323833,0,1
0.053339333,0,0
0.053487250,0,1
0.053496250,1,1
0.054330333,1,0
0.054478167,1,1
0.054487000,0,1
0.054502500,0,0
0.054650417,0,1
0.054659417,1,1
0.061773000,1,0
0.061920917,1,1
0.061929750,0,1
0.061945167,0,0
0.062093083,0,1
0.062102083,1,1
0.062928500,1,0
0.063076417,1,1
0.063085250,0,1
0.063100667,0,0
0.063248583,0,1
0.063257667,1,1
0.064092000,1,0
0.064239833,1,1
0.064248750,0,1
0.064264167,0,0
0.064412083,0,1
0.064421083,1,1
0.065255667,1,0
0.065403500,1,1
0.065412417,0,1
0.065427833,0,0
0.065575750,0,1
0.065584833,1,1
0.066419083,1,0
0.066566917,1,1
0.066575750,0,1
0.066591250,0,0
0.066739167,0,1
0.066748250,1,1
0.067582583,1,0
0.067730417,1,1
0.067739333,0,1
0.067754750,0,0
0.067902667,0,1
0.067911750,1,1
0.068746333,1,0
0.068894250,1,1
0.068903083,0,1
0.068918583,0,0
0.069066417,0,1
0.069075500,1,1
0.069909500,1,0
0.070057417,1,1
0.070066250,0,1
0.070081750,0,0
0.070229667,0,1
0.070238667,1,1
0.071073083,1,0
0.071220917,1,1
0.071229750,0,1
0.071245250,0,0
0.071393167,0,1
0.071402250,1,1
0.078515417,1,0
0.078663250,1,1
0.078672167,0,1
0.078687667,0,0
0.078835583,0,1
0.078844583,1,1
0.079671250,1,0
0.079819083,1,1
0.079827917,0,1
0.079843417,0,0
0.079991333,0,1
0.080000333,1,1
0.080834750,1,0
0.080982583,1,1
0.080991417,0,1
0.081006917,0,0
0.081154833,0,1
0.081163833,1,1
0.081998417,1,0
0.082146250,1,1
0.082155083,0,1
0.082170583,0,0
0.082318500,0,1
0.082327500,1,1
0.083162083,1,0
0.083309917,1,1
0.083318833,0,1
0.083334333,0,0
0.083482250,0,1
0.083491250,1,1
0.084325333,1,0
0.084473167,1,1
0.084482000,0,1
0.084497500,0,0
0.084645417,0,1
0.084654417,1,1
0.085488667,1,0
0.085636500,1,1
0.085645333,0,1
0.085660833,0,0
0.085808750,0,1
0.085817750,1,1
0.086652667,1,0
0.086800500,1,1
0.086809333,0,1
0.086824833,0,0
0.086972750,0,1
0.086981750,1,1
0.087815750,1,0
0.087963583,1,1
0.087972417,0,1
0.087987917,0,0
0.088135833,0,1
0.088144833,1,1
0.095258500,1,0
0.095406333,1,1
0.095415167,0,1
0.095430667,0,0
0.095578583,0,1
0.095587583,1,1
0.096414000,1,0
0.096561833,1,1
0.096570667,0,1
0.096586167,0,0
0.096734083,0,1
0.096743167,1,1
0.097577583,1,0
0.097725417,1,1
0.097734250,0,1
0.097749750,0,0
0.097897667,0,1
0.097906750,1,1
0.098741083,1,0
0.098888917,1,1
0.098897750,0,1
0.098913250,0,0
0.099061167,0,1
0.099070167,1,1
0.099904583,1,0
0.100052417,1,1
0.100061250,0,1
0.100076750,0,0
0.100224667,0,1
0.100233667,1,1
0.101067917,1,0
0.101215750,1,1
0.101224583,0,1
0.101240083,0,0
0.101388000,0,1
0.101397000,1,1
0.102231833,1,0
0.102379667,1,1
0.102388583,0,1
0.102404083,0,0
0.102552000,0,1
0.102561000,1,1
0.103395083,1,0
0.103542917,1,1
0.103551750,0,1
0.103567167,0,0
0.103715083,0,1
0.103724083,1,1
0.104558583,1,0
0.104706417,1,1
0.104715333,0,1
0.104730750,0,0
0.104878667,0,1
0.104887667,1,1
0.112000917,1,0
0.112148750,1,1
0.112157583,0,1
0.112173000,0,0
0.112320917,0,1
0.112330000,1,1
0.113156833,1,0
0.113304667,1,1
0.113313500,0,1
0.113329000,0,0
0.113476917,0,1
0.113485917,1,1
0.114320250,1,0
0.114468083,1,1
0.114476917,0,1
0.114492417,0,0
0.114640333,0,1
0.114649333,1,1
0.115483833,1,0
0.115631583,1,1
0.115640500,0,1
0.115656000,0,0
0.115803917,0,1
0.115812917,1,1
0.116647583,1,0
0.116795417,1,1
0.116804250,0,1
0.116819750,0,0
0.116967667,0,1
0.116976667,1,1
0.117810750,1,0
0.117958583,1,1
0.117967500,0,1
0.117982917,0,0
0.118130833,0,1
0.118139833,1,1
0.118974417,1,0
0.119122250,1,1
0.119131083,0,1
0.119146500,0,0
0.119294417,0,1
0.119303417,1,1
0.120137583,1,0
0.120285417,1,1
0.120294333,0,1
0.120309750,0,0
0.120457667,0,1
0.120466667,1,1
0.121301083,1,0
0.121448917,1,1
0.121457833,0,1
0.121473250,0,0
0.121621167,0,1
0.121630250,1,1
0.128743917,1,0
0.128891750,1,1
0.128900583,0,1
0.128916083,0,0
0.129064000,0,1
0.129073000,1,1
0.130000083,1,0
0.130148000,1,1
0.130156833,0,1
0.130172250,0,0
0.130320167,0,1
0.130329250,1,1
0.131162250,1,0
0.131310083,1,1
0.131319000,0,1
0.131334417,0,0
0.131482333,0,1
0.131491333,1,1
0.132325750,1,0
0.132473583,1,1
0.132482417,0,1
0.132497917,0,0
0.132645833,0,1
0.132654833,1,1
0.133489167,1,0
0.133637000,1,1
0.133645917,0,1
0.133661333,0,0
0.133809250,0,1
0.133818250,1,1
0.134653000,1,0
0.134800833,1,1
0.134809667,0,1
0.134825083,0,0
0.134973000,0,1
0.134982083,1,1
0.135816333,1,0
0.135964250,1,1
0.135973083,0,1
0.135988583,0,0
0.136136500,0,1
0.136145500,1,1
0.136979583,1,0
0.137127417,1,1
0.137136250,0,1
0.137151750,0,0
0.137299667,0,1
0.137308667,1,1
0.138143083,1,0
0.138290917,1,1
0.138299833,0,1
0.138315250,0,0
0.138463167,0,1
0.138472167,1,1
0.145486333,1,0
0.145634167,1,1
0.145643083,0,1
0.145658500,0,0
0.145806417,0,1
0.145815417,1,1
0.146642250,1,0
0.146790083,1,1
0.146798917,0,1
0.146814333,0,0
0.146962250,0,1
0.146971333,1,1
0.147805667,1,0
0.147953500,1,1
0.147962333,0,1
0.147977833,0,0
0.148125750,0,1
0.148134750,1,1
0.148969583,1,0
0.149117417,1,1
0.149126333,0,1
0.149141750,0,0
0.149289667,0,1
0.149298667,1,1
0.150132667,1,0
0.150280583,1,1
0.150289417,0,1
0.150304917,0,0
0.150452833,0,1
0.150461833,1,1
0.151296167,1,0
0.151444000,1,1
0.151452833,0,1
0.151468333,0,0
0.151616250,0,1
0.151625250,1,1
0.152460000,1,0
0.152607833,1,1
0.152616667,0,1
0.152632167,0,0
0.152780083,0,1
0.152789083,1,1
0.153623167,1,0
0.153771000,1,1
0.153779917,0,1
0.153795333,0,0
0.153943250,0,1
0.153952250,1,1
0.154786750,1,0
0.154934583,1,1
0.154943417,0,1
0.154958917,0,0
0.155106833,0,1
0.155115833,1,1
0.162229083,1,0
0.162376917,1,1
0.162385833,0,1
0.162401250,0,0
0.162549167,0,1
0.162558167,1,1
0.163384833,1,0
0.163532750,1,1
0.163541583,0,1
0.163557083,0,0
0.163704917,0,1
0.163714000,1,1
0.164548333,1,0
0.164696167,1,1
0.164705083,0,1
0.164720583,0,0
0.164868500,0,1
0.164877500,1,1
0.165712083,1,0
0.165859917,1,1
0.165868750,0,1
0.165884250,0,0
0.166032167,0,1
0.166041167,1,1
0.166875500,1,0
0.167023333,1,1
0.167032250,0,1
0.167047750,0,0
0.167195667,0,1
0.167204667,1,1
0.168038917,1,0
0.168186750,1,1
0.168195667,0,1
0.168211083,0,0
0.168359000,0,1
0.168368083,1,1
0.169202667,1,0
0.169350583,1,1
0.169359417,0,1
0.169374917,0,0
0.169522833,0,1
0.169531833,1,1
0.170365917,1,0
0.170513750,1,1
0.170522583,0,1
0.170538083,0,0
0.170686000,0,1
0.170695083,1,1
0.171529417,1,0
0.171677333,1,1
0.171686167,0,1
0.171701583,0,0
0.171849500,0,1
0.171858583,1,1
0.178971750,1,0
0.179119667,1,1
