##################################################################################################################
1. The Master presses the Buttonn "START" for a short period of time ####
Start opens the Master player Menu ( not the mentioned trade menu).
Then Master closes the Player menu with the B Button
Waiting for a short timeperiod
2. The Slave also presses the Button "START" for a short period of time #
Start opens the Slave player Menu ( not the mentioned trade menu).
Then Master closes the Player menu with the B Button
##################################################################################################################

000:0000    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
961e:961e    |    cafe:cafe    |    0011:0011    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    0000:0000    
